X	logFC	AveExpr	t	P.Value	adj.P.Val	B	SYMBOL	significance	delabel
EPI_Hs_3P_A_0000001	-0.134195223988345	0.0192995476744711	-2.23938447026717	0.0274977381763558	0.14922450581204	-4.04749071288776	FAM73B	Not_significant	NA
EPI_Hs_3P_A_0000003	-0.00444288263103549	-0.0549231064985547	-0.0321575941089697	0.974414810346536	0.991255700257179	-6.45423439307015	C16orf55	Not_significant	NA
EPI_Hs_3P_A_0000008	-0.0543875073396927	0.181320339437392	-1.23181351883783	0.221102794290706	0.509427721309788	-5.7126989107375	LOC285033	Not_significant	NA
EPI_Hs_3P_A_0000009	-0.00917200084028581	-0.0213881020316221	-0.297505360461492	0.766739660121696	0.9071003940911	-6.41112286618592	C1orf141	Not_significant	NA
EPI_Hs_3P_A_0000010	-0.0128378327930844	-0.034417784721991	-0.246172673590358	0.806087318499544	0.923932939269681	-6.42487285032872	C1orf192	Not_significant	NA
EPI_Hs_3P_A_0000011	-0.178555520257229	-0.257163335991964	-2.66522492634644	0.00906141089375226	0.0711307546995816	-3.08170638390521	TMEM62	Not_significant	NA
EPI_Hs_3P_A_0000012	-0.0163392844442995	0.177668178376518	-0.55131256456415	0.582732430397137	0.808398647775338	-6.30512234943413	C17orf47	Not_significant	NA
EPI_Hs_3P_A_0000013	-0.0026081350173332	-0.256453312981616	-0.0271460243270391	0.978401028837773	0.992063327488386	-6.45438093812506	C8orf82	Not_significant	NA
EPI_Hs_3P_A_0000014	-0.0497962740722971	0.0385680726478206	-1.59395281113108	0.114316182746524	0.353699389846514	-5.21907122832064	C1orf100	Not_significant	NA
EPI_Hs_3P_A_0000015	0.0019892689790433	-0.0207013493586542	0.0660226448098757	0.947500536036335	0.982057799545524	-6.45259499882591	C10orf120	Not_significant	NA
EPI_Hs_3P_A_0000017	-0.460002731560079	-0.0884570507474275	-2.45843208087178	0.0157923871150318	0.104129643310451	-3.56905435600681	C19orf21	Not_significant	NA
EPI_Hs_3P_A_0000018	-0.0538133082254123	0.128824477920106	-1.03631658446293	0.302722960776627	0.597377913589721	-5.92828272051621	C20orf195	Not_significant	NA
EPI_Hs_3P_A_0000021	-0.128267070540864	0.108156829997225	-2.55897835112184	0.0121006783309696	0.0869563346871566	-3.33635166386121	C10orf95	Not_significant	NA
EPI_Hs_3P_A_0000022	-0.0740063120800265	-0.0129737192875477	-1.27525894912923	0.205372104495539	0.489180061013176	-5.65989987049087	FAM103A1	Not_significant	NA
EPI_Hs_3P_A_0000023	-0.015204207219329	0.0182384279399353	-0.21876444882988	0.827309586843978	0.932193880501504	-6.43115253766972	C19orf52	Not_significant	NA
EPI_Hs_3P_A_0000028	0.0936355101650538	0.135679922668806	1.79997474000616	0.075084509974798	0.277005339483633	-4.88486644300854	PRAMEF8	Not_significant	NA
EPI_Hs_3P_A_0000029	0.0405219770754861	0.0534654408057579	0.679701375325636	0.498370229630566	0.755849321417909	-6.22751636294592	C20orf96	Not_significant	NA
EPI_Hs_3P_A_0000030	0.396151439232361	-0.161851815107932	2.19120759312071	0.0309175887877467	0.161029333720208	-4.14737217095318	AADACL4	Not_significant	NA
EPI_Hs_3P_A_0000032	0.00472078503273665	-0.313331241487744	0.103517226393653	0.917773834615227	0.971410452120221	-6.44946081143095	C7orf26	Not_significant	NA
EPI_Hs_3P_A_0000035	-0.0372329608292385	-0.0572281176197248	-1.13054861397904	0.261132187973451	0.554311762501835	-5.82887984630122	C15orf43	Not_significant	NA
EPI_Hs_3P_A_0000036	0.0242100771391037	-0.00061443033032719	0.673324084556367	0.502399425117482	0.758377794690971	-6.23174980722411	PRAMEF5	Not_significant	NA
EPI_Hs_3P_A_0000037	0.0923552070769443	-0.0497976454167534	2.32078290411217	0.0224690677214326	0.130733089279934	-3.87432471577687	C16orf42	Not_significant	NA
EPI_Hs_3P_A_0000038	0.21733446811333	-0.0260426684303966	3.15008961085777	0.00219130495264478	0.0265196135542561	-1.80996314058595	NCDN	Not_significant	NA
EPI_Hs_3P_A_0000039	-0.021485620163673	0.167060561107816	-0.681716500330947	0.497100706310643	0.755060924151825	-6.22617044612156	C11orf16	Not_significant	NA
EPI_Hs_3P_A_0000041	-0.0119627584408823	0.196908641068447	-0.231175795863951	0.817682553528046	0.928296920868745	-6.42840050464169	FAM46C	Not_significant	NA
EPI_Hs_3P_A_0000042	0.166154263456172	-0.188800701724188	1.32059314208461	0.189855248815282	0.468927226139797	-5.60292390402894	C19orf59	Not_significant	NA
EPI_Hs_3P_A_0000043	0.0437401067702094	-0.21181891201532	0.457224683797857	0.648568448697091	0.845342856675577	-6.35178069718517	FAM43A	Not_significant	NA
EPI_Hs_3P_A_0000044	0.127609070466059	0.171865708190831	1.27410501351199	0.205778949544525	0.489384879822107	-5.66132508699702	CGB8	Not_significant	NA
EPI_Hs_3P_A_0000045	-0.0274451490420533	-0.0923824294201064	-0.8884428671058	0.376578836890987	0.661619197753769	-6.06720899390457	FAM123A	Not_significant	NA
