X	logFC	AveExpr	t	P.Value	adj.P.Val	B	SYMBOL	significance	delabel
EPI_Hs_3P_A_0000046	0.0143778911137612	-0.0428684756905423	0.367654166353725	0.713960711512274	0.880872772419918	-6.38814362968337	C1orf131	Not_significant	NA
EPI_Hs_3P_A_0000048	0.00224692356802919	0.120888853892647	0.0614062465756997	0.951166538101281	0.983833748787835	-6.45288504842077	C16orf71	Not_significant	NA
EPI_Hs_3P_A_0000052	0.357433324761224	-0.167269911151405	2.5484938533089	0.0124455930414587	0.0884794300863066	-3.36099528947739	FAM101A	Not_significant	NA
EPI_Hs_3P_A_0000053	-0.101570567927534	-0.142204283218118	-0.847190130141638	0.399049012197538	0.681921391137424	-6.10222494407473	C11orf52	Not_significant	NA
EPI_Hs_3P_A_0000054	0.0410282461366549	0.0355998963895248	0.696816517086974	0.487643694826171	0.747791030930059	-6.21595955358646	FAM96A	Not_significant	NA
EPI_Hs_3P_A_0000056	0.0114518328484239	-0.0529146942711296	0.332691876591867	0.740110461346207	0.893940094939543	-6.40020091224384	C3orf22	Not_significant	NA
EPI_Hs_3P_A_0000059	0.00612541187240764	-0.182746629419239	0.10578621916133	0.915978231673108	0.971024393883195	-6.44922667021734	C18orf8	Not_significant	NA
EPI_Hs_3P_A_0000061	0.203244455053786	-0.282275593372297	1.42590337917745	0.157221098956431	0.421666505921848	-5.46319473454649	C19orf44	Not_significant	NA
EPI_Hs_3P_A_0000062	0.0320859736983429	-0.0823471250631286	0.680017162455534	0.498171168889386	0.755849321417909	-6.22730570701303	C3orf36	Not_significant	NA
EPI_Hs_3P_A_0000063	-0.184545923908709	-0.0468055954033414	-3.18092552214667	0.00199145502407161	0.0247628906628097	-1.72323155472105	KIAA0240	Not_significant	NA
EPI_Hs_3P_A_0000065	-0.000103803331341148	-0.103751271544225	-0.001264308792309	0.998993917076453	0.999405224239648	-6.45474350492285	PRAMEF6	Not_significant	NA
EPI_Hs_3P_A_0000070	-0.131078081779452	0.0465207774408602	-2.60559166462684	0.0106691415455946	0.0795740140275599	-3.22572971223035	C9orf163	Not_significant	NA
EPI_Hs_3P_A_0000071	-0.198523633192016	-0.116402344331368	-1.38029723136685	0.170781082425551	0.441799907493658	-5.52496846784121	C9orf50	Not_significant	NA
EPI_Hs_3P_A_0000075	-0.561063763356875	-0.107748432903515	-4.23087862819634	5.42204142147035e-05	0.0016344694316341	1.60407410862901	C1orf216	Downregulated	C1orf216
EPI_Hs_3P_A_0000076	0.0797694135744624	-0.182655684085906	1.19794560231455	0.233961244201217	0.524402940191254	-5.75263023645324	C9orf69	Not_significant	NA
EPI_Hs_3P_A_0000077	-0.0361979338551002	-0.0502696447768528	-1.13807754531373	0.257991265508378	0.550495228971418	-5.82057472902257	LOC286238	Not_significant	NA
EPI_Hs_3P_A_0000078	-0.0756519441804758	0.03092350632339	-1.85376698952449	0.0669203687748938	0.25840438718747	-4.79137068504012	LOC200726	Not_significant	NA
EPI_Hs_3P_A_0000082	0.0218336233568346	-0.0200771792828073	0.490722103621336	0.62477090116323	0.831807886670262	-6.33616186426121	C12orf60	Not_significant	NA
EPI_Hs_3P_A_0000083	-0.118051378376845	-0.0286308447818245	-1.84804646284196	0.0677517209465039	0.260220466935945	-4.80143495893888	LOC728819	Not_significant	NA
EPI_Hs_3P_A_0000084	-0.0502047661697708	0.245642947353567	-1.05658174792445	0.293420486581501	0.587572975028953	-5.90761720284013	FAM123C	Not_significant	NA
EPI_Hs_3P_A_0000088	0.0383799124619643	0.0478979315489074	0.698097924831741	0.486845726003927	0.747547617743944	-6.21508285439945	MEIG1	Not_significant	NA
EPI_Hs_3P_A_0000093	-0.0560003623143099	-0.285672093758007	-0.602480114818637	0.548310665667033	0.788508058426262	-6.27611809803389	SLC6A10P	Not_significant	NA
EPI_Hs_3P_A_0000094	0.0442791049041023	0.071756040148919	0.5407888753525	0.589937079625095	0.8122979788684	-6.31077090219062	HIST1H3D	Not_significant	NA
EPI_Hs_3P_A_0000096	0.00564071938838193	0.0944199113820095	0.0881940441805493	0.929910769692656	0.976217805766596	-6.45090915998774	FAM71E1	Not_significant	NA
EPI_Hs_3P_A_0000100	0.00328714113718144	-0.0753655923388253	0.106975386173479	0.915037339088792	0.970650826759431	-6.44910193107347	PRAMEF4	Not_significant	NA
EPI_Hs_3P_A_0000101	0.00609660953926573	0.124558892861198	0.134962422833176	0.892931233090516	0.961024164716968	-6.44576374433195	FAM151B	Not_significant	NA
EPI_Hs_3P_A_0000102	-0.256075806021108	-0.110967116139149	-2.62297561425674	0.0101757076648435	0.0770637145585118	-3.18403391472892	TMEM180	Not_significant	NA
EPI_Hs_3P_A_0000103	-0.0966452268043821	0.120903799612152	-2.34254556801779	0.021270354782464	0.125775611339789	-3.82709560980551	TMEM133	Not_significant	NA
EPI_Hs_3P_A_0000104	-0.115749199074098	0.0966798854402243	-2.6929949361405	0.00839054354752677	0.0675308612952041	-3.01368614736036	TMEM203	Not_significant	NA
EPI_Hs_3P_A_0000106	-0.00920076520894827	-0.174921057891433	-0.187814323385155	0.851428548709188	0.942418089904467	-6.43735451427425	TMEM175	Not_significant	NA
EPI_Hs_3P_A_0000107	-0.0279779220372955	0.101125228206209	-0.540160768438272	0.590368405211782	0.812597254422617	-6.31110461590177	TMEM145	Not_significant	NA
EPI_Hs_3P_A_0000108	-0.00462224312411989	0.112906993956874	-0.134435042968414	0.893347069705527	0.961074032764996	-6.4458337851609	TMEM82	Not_significant	NA
EPI_Hs_3P_A_0000109	0.210693130943154	0.120543264463175	4.22783152661442	5.48399830189989e-05	0.00164884120819232	1.59345245932921	TMEM88	Not_significant	NA
EPI_Hs_3P_A_0000112	-0.0689976944805531	-0.0601528733172621	-2.53028842434871	0.013065577222481	0.0915586447979842	-3.40357829543552	C1orf168	Not_significant	NA
EPI_Hs_3P_A_0000113	-0.0303052378454412	-0.237423967981905	-0.488804118361083	0.626123130704651	0.832829520771361	-6.33708580435188	ZNF672	Not_significant	NA
EPI_Hs_3P_A_0000115	-0.101628126055682	-0.0799109039638687	-1.7034102122347	0.0918077758509803	0.312168068351493	-5.04625372345748	ZNF559	Not_significant	NA
EPI_Hs_3P_A_0000117	-0.0292299798617837	0.104574706479998	-0.399043214497383	0.690769843168422	0.867444335903961	-6.37629620727645	ZNF585A	Not_significant	NA
EPI_Hs_3P_A_0000123	0.120063479886117	-0.074159330180252	1.08803669188554	0.279371108441977	0.573145333347261	-5.87476767809049	GPRIN1	Not_significant	NA
EPI_Hs_3P_A_0000124	0.0891261836186957	0.0103426254477396	1.10337512932796	0.272691471354248	0.566455448456364	-5.85840862683493	ZNF784	Not_significant	NA
EPI_Hs_3P_A_0000125	-0.118814516853406	0.00632434449329404	-2.50417436592991	0.0140033656170493	0.096035555528151	-3.46419634597392	ZNF439	Not_significant	NA
EPI_Hs_3P_A_0000126	-0.0100331093392804	0.0655717641301885	-0.189100913163006	0.850422943141377	0.941918466043627	-6.43711549356994	ZNF581	Not_significant	NA
EPI_Hs_3P_A_0000128	0.24154531811568	-0.168906249516187	3.07540802042254	0.00275526415605023	0.0310957011863909	-2.01719540461029	LAYN	Not_significant	NA
EPI_Hs_3P_A_0000129	-0.0915447383518376	-0.163841167946872	-2.04899629550438	0.0432600388251176	0.199384741818521	-4.43074288239593	ZNF511	Not_significant	NA
EPI_Hs_3P_A_0000130	-0.160444027694215	-0.180195585760782	-1.18898240085499	0.237452649017983	0.528738584230882	-5.76301764122917	C22orf23	Not_significant	NA
EPI_Hs_3P_A_0000133	0.29166049651681	-0.044685129364493	4.13100229125038	7.84872055962571e-05	0.00217155335390314	1.25861752371561	ZNF579	Not_significant	NA
EPI_Hs_3P_A_0000134	-0.0397443648437694	-0.0347468176359694	-0.632104819730907	0.528858532855012	0.777245436832594	-6.25815885497579	TMEM199	Not_significant	NA
EPI_Hs_3P_A_0000137	0.0324714407397224	0.150900525902416	0.43581818609784	0.663971572261548	0.85413735518175	-6.36118641043663	TMEM19	Not_significant	NA
EPI_Hs_3P_A_0000140	0.00132505808778903	0.0122984921603076	0.0177372589599921	0.98588619124831	0.994555309472647	-6.45458916422221	TMEM95	Not_significant	NA
EPI_Hs_3P_A_0000141	-0.0319899486831566	-0.02891564506151	-0.577645970341708	0.56488942390021	0.799011435667979	-6.29051425271814	C20orf141	Not_significant	NA
EPI_Hs_3P_A_0000142	-0.0228997473697046	0.0498568754541566	-0.318007026057038	0.751187633621496	0.899464859970448	-6.40490707825747	ZNF600	Not_significant	NA
EPI_Hs_3P_A_0000143	-0.0578459885064847	0.0374985057467915	-1.13482218673476	0.259346055677274	0.552004483066517	-5.82417227141462	ZNF574	Not_significant	NA
EPI_Hs_3P_A_0000144	-0.0157014963437362	-0.0446546396663198	-0.243592199630089	0.808079475270647	0.924234145498762	-6.42549561326607	C14orf102	Not_significant	NA
EPI_Hs_3P_A_0000145	-0.136394430974385	0.0616541155921494	-1.71033428069628	0.0905150904208744	0.309504509537748	-5.03495887413565	ZNF362	Not_significant	NA
EPI_Hs_3P_A_0000147	0.041116154345165	0.0868922002545381	0.667283347598233	0.506232069263934	0.761375933783202	-6.23572339440523	TMEM63B	Not_significant	NA
EPI_Hs_3P_A_0000148	-0.0701977691843829	-0.161131641874032	-1.10702498087	0.271118507642629	0.564915850927265	-5.85448306946113	C9orf16	Not_significant	NA
EPI_Hs_3P_A_0000150	0.0865746907974334	0.0373653548122326	0.747862449369757	0.45641700187177	0.724139411173631	-6.17980373474625	CGB7	Not_significant	NA
EPI_Hs_3P_A_0000153	0.228382690752898	-0.0118827089490693	2.79031323022958	0.00638064599757135	0.0559510826822305	-2.77059219196511	ZNF691	Not_significant	NA
EPI_Hs_3P_A_0000155	0.296402721671844	0.0856586768762863	4.60991370012871	1.2720084173568e-05	0.000542711584702346	2.96392226324017	C3orf45	Not_significant	NA
EPI_Hs_3P_A_0000157	-0.0241895412443733	0.104738766564632	-0.758595804819764	0.44999935047985	0.718718961996633	-6.17188007222426	KIAA1377	Not_significant	NA
EPI_Hs_3P_A_0000159	-0.023004672303513	-0.0306879978204994	-0.546989614405361	0.585686926324659	0.810262846035612	-6.30745576612405	ZNF558	Not_significant	NA
EPI_Hs_3P_A_0000160	-0.0332523669700251	0.15160518638912	-1.18973634197279	0.237157536048794	0.528438161237354	-5.76214681606146	FAM26D	Not_significant	NA
EPI_Hs_3P_A_0000161	0.0347211254395307	-0.186214466510637	0.551104179700409	0.582874687629969	0.808503598970603	-6.30523524879955	ZNF343	Not_significant	NA
EPI_Hs_3P_A_0000167	0.0393572655193622	0.0268576854006822	0.516646074034239	0.606621158095169	0.821693801713814	-6.3233206552346	TUBA4B	Not_significant	NA
EPI_Hs_3P_A_0000168	-0.0353781457212917	0.115802125449416	-0.879490591568846	0.381386514124861	0.66575415766988	-6.07494689511982	C20orf79	Not_significant	NA
EPI_Hs_3P_A_0000169	-0.0946814442864744	0.101783876021101	-1.86310139734907	0.0655821493293258	0.255372809338337	-4.77488648929534	FBXO21	Not_significant	NA
EPI_Hs_3P_A_0000173	0.0725997007818603	0.00635897650242804	0.749111354097575	0.455667583471199	0.723756750190103	-6.17888749183353	ZNF223	Not_significant	NA
EPI_Hs_3P_A_0000176	0.0662363938471608	0.0503435348813736	0.940711303699116	0.349273000179304	0.638386589774668	-6.02049454269515	ZNF584	Not_significant	NA
EPI_Hs_3P_A_0000177	-0.100383235324864	-0.178161681599087	-1.52242891070603	0.131271244430823	0.382194465408161	-5.32613132369712	ZNF512B	Not_significant	NA
EPI_Hs_3P_A_0000178	-0.0606676517278612	-0.0464142671342352	-1.79709499353005	0.0755439278654867	0.27794532159687	-4.88979945780112	ZNF560	Not_significant	NA
EPI_Hs_3P_A_0000180	-0.058320359420511	0.177117889669384	-1.5477066456173	0.125065741908204	0.372103214328352	-5.28882710292885	ZNF550	Not_significant	NA
EPI_Hs_3P_A_0000181	0.347673702915326	-0.265814651136894	3.45267361232757	0.000834947995488343	0.0131065833880498	-0.930188008612445	TMEM104	Not_significant	NA
EPI_Hs_3P_A_0000182	0.0295050861463434	0.00780588634148457	1.0120213204567	0.314135442273345	0.608244653086854	-5.95254255135522	ZNF705A	Not_significant	NA
EPI_Hs_3P_A_0000183	0.134864775919756	0.031000519428142	1.34332208269203	0.182413886997411	0.458387100300055	-5.5736372579433	ZNF565	Not_significant	NA
EPI_Hs_3P_A_0000185	-0.0435079852061718	-0.496824905254307	-0.757554716595519	0.450619549946608	0.719242615269721	-6.17265351602433	ZNF556	Not_significant	NA
EPI_Hs_3P_A_0000187	0.142476418502338	-0.191365920297896	2.49579499652335	0.0143168260627865	0.0975478992669823	-3.483531137188	ZNF227	Not_significant	NA
EPI_Hs_3P_A_0000190	-0.00815835732263585	0.0789372971862643	-0.266014480514111	0.790812823929296	0.917402289088864	-6.41986537952106	KIAA0528	Not_significant	NA
EPI_Hs_3P_A_0000191	0.00289372661355872	-0.0871547690092497	0.021692388749374	0.98273948726735	0.993510336795011	-6.45451226850165	LYG1	Not_significant	NA
EPI_Hs_3P_A_0000192	0.0789315928167292	-0.102103920925309	2.12365042234627	0.0363351777869519	0.178856446446068	-4.28413399613793	ZNF598	Not_significant	NA
EPI_Hs_3P_A_0000194	-0.0116502478174879	0.137304051253208	-0.279252442659051	0.780666874342833	0.912740070184031	-6.41630908627796	C20orf197	Not_significant	NA
EPI_Hs_3P_A_0000195	0.188707448336559	-0.0893090540670019	2.98966442428984	0.00356753078227113	0.0374274662850626	-2.25013188582487	ZNF609	Not_significant	NA
EPI_Hs_3P_A_0000197	0.19191193899318	-0.0917210700042779	1.92796189367629	0.0568894966041183	0.234897829996628	-4.65823169776313	ZNF484	Not_significant	NA
EPI_Hs_3P_A_0000198	0.251119508465772	-0.177090514469072	1.57310318927481	0.119067403527345	0.363088940999357	-5.25076079763614	ZNF497	Not_significant	NA
EPI_Hs_3P_A_0000202	-0.17431712000781	-0.205083381082206	-1.12923325610972	0.261683674955299	0.554921272696557	-5.83032530916915	ZNF530	Not_significant	NA
EPI_Hs_3P_A_0000205	-0.0485998400320371	-0.038513137831599	-1.5625178166456	0.121539093543612	0.366522033304891	-5.26669835708043	FAM55A	Not_significant	NA
EPI_Hs_3P_A_0000208	-0.00410643966952791	-0.112615070125275	-0.0376933437442564	0.970012416258351	0.989884759701489	-6.45404373146247	C9orf116	Not_significant	NA
EPI_Hs_3P_A_0000209	-0.0539813780492083	-0.103294305024916	-1.15666105511973	0.250352817691416	0.542922139069931	-5.79984610262661	ZNF800	Not_significant	NA
EPI_Hs_3P_A_0000210	-0.0362941841305237	0.00800138656555673	-0.766390258689534	0.44537166447167	0.71586225144893	-6.16605610813204	INTS4	Not_significant	NA
EPI_Hs_3P_A_0000211	-0.0688131624221866	0.0223177113441438	-1.22643417684171	0.223110032366095	0.511757955870526	-5.7191132995667	INTS5	Not_significant	NA
EPI_Hs_3P_A_0000212	-0.0070404033661548	-0.102469979072089	-0.193834575587355	0.846725226723529	0.940484497102939	-6.43622204578406	CENPQ	Not_significant	NA
EPI_Hs_3P_A_0000213	-0.115216587017808	-0.0193682178763441	-2.03519625593557	0.0446572279786087	0.203570190683195	-4.45732059135668	FAM35A	Not_significant	NA
EPI_Hs_3P_A_0000214	0.113705330887922	-0.18574402484819	1.48632501384077	0.140552072297315	0.396113138774636	-5.3783992090344	TMEM184A	Not_significant	NA
EPI_Hs_3P_A_0000215	-0.00446958159961694	0.12729743299815	-0.107099280899982	0.914939318051935	0.970650826759431	-6.44908885479737	ZNF768	Not_significant	NA
EPI_Hs_3P_A_0000216	-0.0139121323061865	-0.0893675098650711	-0.177220287484212	0.85971809043306	0.946056321241276	-6.43926066635805	KIAA1045	Not_significant	NA
EPI_Hs_3P_A_0000220	0.0753968088616548	-0.104991512293271	0.809397142341685	0.420338442133119	0.698907453125533	-6.13286553584926	ZNF775	Not_significant	NA
EPI_Hs_3P_A_0000223	0.0296038358582302	-0.10556286775026	0.336317343978602	0.737383980757403	0.892488237479078	-6.3990064145306	TM6SF2	Not_significant	NA
EPI_Hs_3P_A_0000224	0.018141085722437	-0.00300088296652792	0.506129985500377	0.613954792455756	0.825241871622089	-6.32860893687165	C9orf84	Not_significant	NA
EPI_Hs_3P_A_0000226	0.0393634291492012	0.308460706206093	0.719021116132194	0.473918219110033	0.737813214500389	-6.20054247725484	C12orf45	Not_significant	NA
EPI_Hs_3P_A_0000227	0.0588075773934453	0.135610515500231	1.23749287171669	0.218997918379203	0.506397049198295	-5.70589731811123	SRL	Not_significant	NA
EPI_Hs_3P_A_0000228	0.0166544599588524	0.192298570612325	0.454149101863454	0.650772319493065	0.846161587331177	-6.35315968039569	C14orf142	Not_significant	NA
EPI_Hs_3P_A_0000233	-0.00633673599286711	-0.00654809678714301	-0.157513908845173	0.875178961552135	0.953423164804696	-6.44251224162316	C1orf194	Not_significant	NA
EPI_Hs_3P_A_0000237	0.017072452163102	0.0105697545086715	0.325974030850314	0.745171276634315	0.896888071998274	-6.40238013025097	LNP1	Not_significant	NA
EPI_Hs_3P_A_0000239	-0.881324892528907	-0.168693198503873	-6.93777862905787	5.09632157817005e-10	1.96131935935874e-07	12.5862080990945	GLDN	Downregulated	GLDN
EPI_Hs_3P_A_0000240	-0.0681560364023309	0.16571287392317	-1.41394256818679	0.160694514094159	0.426772816786872	-5.47958169331089	KIAA0146	Not_significant	NA
EPI_Hs_3P_A_0000241	0.0185729522308661	0.089394850789282	0.619076825481563	0.537368823205504	0.782233024161175	-6.26616204234798	C6orf195	Not_significant	NA
EPI_Hs_3P_A_0000246	-0.0868552787775667	0.0602891710864262	-2.73523302205249	0.00745637700266981	0.0623371474904593	-2.90907708754684	PRAMEF14	Not_significant	NA
EPI_Hs_3P_A_0000252	0.20747478870802	0.0301952514079084	1.42552941155508	0.157328816355678	0.421792901843394	-5.46370909026028	C1orf50	Not_significant	NA
EPI_Hs_3P_A_0000253	0.0734788966021652	0.0369720903146029	0.791288968018018	0.430774903097901	0.706529501753945	-6.14705834826725	ZNF586	Not_significant	NA
EPI_Hs_3P_A_0000254	0.163616167026753	-0.191663432028732	2.78115601876742	0.00654903786362511	0.0568938424789193	-2.7937772011156	FAM78A	Not_significant	NA
EPI_Hs_3P_A_0000255	0.0022757837797798	0.0515868732548272	0.065597242722648	0.947838312882145	0.982207713627501	-6.45262260593681	C15orf26	Not_significant	NA
EPI_Hs_3P_A_0000256	-0.0944766109127485	0.127063261875477	-0.9574964118034	0.340782081142335	0.630274035041303	-6.00493742050304	C9orf117	Not_significant	NA
EPI_Hs_3P_A_0000257	-0.28102836447897	-0.00836092841010522	-4.1328246706061	7.79629750077185e-05	0.00216115612953569	1.26487063378223	FAM153B	Not_significant	NA
EPI_Hs_3P_A_0000258	-0.00209987122489322	-0.233485370223841	-0.0176141308146412	0.985984155924293	0.994555309472647	-6.45459131048426	C16orf59	Not_significant	NA
EPI_Hs_3P_A_0000264	-0.0117571206775298	-0.0268209531151578	-0.171276976377599	0.864375517919593	0.947869833512909	-6.44028161524324	SELO	Not_significant	NA
EPI_Hs_3P_A_0000265	-0.0300652757444027	-0.0856145873289398	-1.05751115815865	0.292998576534842	0.58730595719866	-5.90666006306173	C12orf40	Not_significant	NA
EPI_Hs_3P_A_0000266	-0.079786968715967	-0.0395640069985547	-1.60885241918545	0.111014679887382	0.347255482698393	-5.1961834003306	FAM127C	Not_significant	NA
EPI_Hs_3P_A_0000269	-0.202743283265647	-0.00352294848728176	-4.3772711635513	3.12355586322094e-05	0.00105261036515088	2.1203311815173	PHACTR4	Not_significant	NA
EPI_Hs_3P_A_0000272	-0.0965652246158565	0.0276472272300266	-1.81877417210934	0.0721420030189758	0.270570485674758	-4.85248229744245	C17orf58	Not_significant	NA
EPI_Hs_3P_A_0000273	0.00713163990286864	0.200678079716499	0.179289953369219	0.858097368239921	0.945836380258151	-6.43889696766221	ZNF391	Not_significant	NA
EPI_Hs_3P_A_0000277	-0.0169273572664015	0.0163340316640074	-0.467612618136342	0.641147946999002	0.841800605228519	-6.34705462587371	ISX	Not_significant	NA
EPI_Hs_3P_A_0000283	-0.479522240980523	-0.445846201837669	-4.62774580987334	1.1860922472251e-05	0.000514793967306876	3.02971298128826	C1orf96	Not_significant	NA
EPI_Hs_3P_A_0000284	-0.0155142275469915	-0.110990990059198	-0.259930130729646	0.795488267717785	0.918798498893125	-6.42144206904972	C2orf29	Not_significant	NA
EPI_Hs_3P_A_0000285	-0.12136025545897	-0.163406826304891	-0.890342775907119	0.375563428646273	0.660853416977239	-6.06555689915376	C17orf28	Not_significant	NA
EPI_Hs_3P_A_0000286	-0.0638874152735823	0.0965305305750376	-1.9836250957859	0.0502259283698481	0.218206380430511	-4.55518778852487	C16orf3	Not_significant	NA
EPI_Hs_3P_A_0000288	-0.00927646861515681	0.083365940781651	-0.135918993178733	0.892177058139434	0.960879685144481	-6.44563600360053	FAM158A	Not_significant	NA
EPI_Hs_3P_A_0000291	-0.226003039065319	-0.0237257331087987	-3.2366175237016	0.00167292819300461	0.02178769594172	-1.56488008545206	ZNF789	Not_significant	NA
EPI_Hs_3P_A_0000293	0.00735846106001992	0.215972398433403	0.218177905839251	0.827765212545887	0.932312985937348	-6.43127884185455	C9orf66	Not_significant	NA
EPI_Hs_3P_A_0000294	-0.117144736741851	-0.032811257617528	-2.22993048061901	0.0281414279862705	0.151471728119108	-4.06724465317845	FAM166A	Not_significant	NA
EPI_Hs_3P_A_0000295	0.0337261154471682	-0.0190845900041045	0.724432598582842	0.470606176210291	0.734836841687302	-6.19671271311395	FAM114A2	Not_significant	NA
EPI_Hs_3P_A_0000297	-0.0230225207615592	0.108095734373454	-0.812226760153782	0.418721359898861	0.697744168782464	-6.13061913976088	PRAMEF16	Not_significant	NA
EPI_Hs_3P_A_0000298	0.376636122322695	0.153464037498728	4.12961192408678	7.88894375691448e-05	0.00217638710024985	1.25384803898655	ZNF835	Not_significant	NA
EPI_Hs_3P_A_0000300	0.0680526176958499	0.137242752759914	1.38682284840431	0.168787983478512	0.438510725304041	-5.5162474505862	C22orf25	Not_significant	NA
EPI_Hs_3P_A_0000301	-0.281047592421424	0.0817571952428605	-3.38619541940075	0.00103726895014281	0.0154526305340308	-1.1288758271021	C7orf59	Not_significant	NA
EPI_Hs_3P_A_0000306	0.359078288817959	0.0247587081783443	3.14054294823982	0.00225686780753619	0.0271506707941178	-1.83667734632864	ZNF671	Not_significant	NA
EPI_Hs_3P_A_0000307	0.00837609996518271	0.188825902799283	0.222390615955947	0.824494102585542	0.93110890370237	-6.43036417068844	TMEM215	Not_significant	NA
EPI_Hs_3P_A_0000308	-0.0275978616248417	0.0118950865348017	-0.870058643165565	0.38649300040566	0.670562016106926	-6.08301604113727	TMEM220	Not_significant	NA
